行政區,路名,段、號及其他註明,經度,緯度,備註
北投區,承德路,7段雙號(大同公司站),121.50122,25.12002 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段雙號(大同公司站),121.50128,25.11998 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段單號(立農國小站),121.50356,25.11737 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段212號對面(實踐街口站),121.5063889,25.11472 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段立農公園前路橋上,121.5030556,25.11778 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段立農公園前路橋上,121.5033333,25.11806 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段384號(中油加油站),121.5022222,25.11917 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段384號(中油加油站),121.502145,25.11925 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文林北路,261號(石牌站),121.51212,25.10967 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文林北路,261號(石牌站),121.512473,25.10939 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文林北路,與明德路口路橋上,121.516585,25.10595 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文林北路,與明德路口路橋上,121.51679,25.10620 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文林北路,55號旁(中正高中站),121.51783,25.10497 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文林北路,53巷口(中正高中站),121.51789,25.10494 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,1段石牌國中大門左側,121.514018,25.11483 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,1段與公?路口,121.50254,25.12140 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,1段與公?路口,121.50254,25.12140 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,423巷口對面,121.50238,25.12087 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,432號旁,121.502291,25.12073 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,432號旁,121.502269,25.12068 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,433號對面,121.502064,25.12039 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段90巷口(永明派出所站),121.51653,25.11728 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段100號旁 (永明派出所站),121.516578,25.11730 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段雙號(護理學院後門右側),121.51907,25.11862 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段雙號(榮總站),121.51948,25.11863 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段雙號(榮總站),121.51961,25.11862 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
